route,year_month,rides,moving_avg,pct_diff
10,2011-07,58197,21754.916666666668,1.675119417449695
10,2011-08,52286,22121.333333333332,1.363600747393165
10,2011-09,13001,22217.5,-0.4148306515134466
10,2011-10,7758,22281.75,-0.6518226799959608
10,2011-11,11284,22428.916666666668,-0.4968994638617559
10,2011-12,13669,21783.333333333332,-0.3725019127773527
10,2012-01,6122,21850.083333333332,-0.7198180022196712
10,2012-02,5274,21955.083333333332,-0.7597822827667093
10,2012-03,13145,21613.083333333332,-0.3918035757662218
10,2012-04,16604,20470.083333333332,-0.18886505102975476
10,2012-05,7632,20304.583333333332,-0.6241242740760501
10,2012-06,26198,19264.166666666668,0.3599342475234675
10,2012-07,55626,19049.916666666668,1.9200127734592012
10,2012-08,49308,18801.75,1.6225218397223662
10,2012-09,10564,18598.666666666668,-0.4320022940712596
10,2012-10,6111,18461.416666666668,-0.6689853162225723
10,2012-11,8680,18244.416666666668,-0.5242380088885641
10,2012-12,18921,18682.083333333332,0.01278854517474414
10,2013-01,6823,18740.5,-0.6359222005816281
10,2013-02,4904,18709.666666666668,-0.737889504534198
10,2013-03,10961,18527.666666666668,-0.4083982512638757
10,2013-04,9363,17924.25,-0.47763504749152685
10,2013-05,9199,18054.833333333332,-0.4904965429386406
10,2013-06,25243,17975.25,0.40431982865328714
10,2013-07,35864,16328.416666666666,1.1964162681623551
10,2013-08,30603,14769.666666666666,1.0720169717213208
10,2013-09,6682,14446.166666666666,-0.5374551495783195
10,2013-10,5488,14394.25,-0.6187366483144311
10,2013-11,6539,14215.833333333334,-0.5400199308283018
10,2013-12,7479,13262.333333333334,-0.43607208384648255
10,2014-01,4688,13084.416666666666,-0.6417111958882386
10,2014-02,3575,12973.666666666666,-0.7244418180416742
10,2014-03,8894,12801.416666666666,-0.3052331447691336
10,2014-04,10977,12935.916666666666,-0.1514323814186599
10,2014-05,6808,12736.666666666666,-0.46548024077466627
10,2014-06,20168,12313.75,0.6378438737184042
10,2014-07,30085,11832.166666666666,1.542645049511924
10,2014-08,30133,11793.0,1.5551598405833968
10,2014-09,5531,11697.083333333334,-0.5271470808249921
10,2014-10,4605,11623.5,-0.6038198477222867
10,2014-11,6403,11612.166666666666,-0.4485955822197982
10,2014-12,9595,11788.5,-0.18607117105653814
10,2015-01,4902,11806.333333333334,-0.5847991191168582
10,2015-02,4045,11845.5,-0.658520113123127
10,2015-03,7634,11740.5,-0.34977215621140495
10,2015-04,9902,11650.916666666666,-0.1501097910750942
10,2015-05,9507,11875.833333333334,-0.19946670409094103
10,2015-06,21781,12010.25,0.8135342728086427
10,2015-07,29762,11983.333333333334,1.4836161335187759
10,2015-08,30179,11987.166666666666,1.5176091097423636
10,2015-09,9157,12289.333333333334,-0.2548822827384182
10,2015-10,6151,12418.166666666666,-0.5046772873075736
10,2015-11,8389,12583.666666666666,-0.33334216312150666
10,2015-12,12221,12802.5,-0.04542081624682679
10,2016-01,5141,12822.416666666666,-0.5990615393614048
10,2016-02,3782,12800.5,-0.704542791297215
10,2016-03,9691,12971.916666666666,-0.2529245870887751
10,2016-04,7213,12747.833333333334,-0.43417835710643643
10,2016-05,5711,12431.5,-0.5406025017093673
10,2016-06,17851,12104.0,0.47480171844018504
10,2016-07,25227,11726.083333333334,1.1513577281416782
10,2016-08,26069,11383.583333333334,1.2900521950469608
10,2016-09,2847,10857.75,-0.7377909787939491
10,2017-05,1345,10457.25,-0.8713810992373712
10,2017-06,16701,11149.916666666666,0.4978587283910942
10,2017-07,22543,12010.083333333334,0.8770061267962336
10,2017-08,20533,13292.75,0.5446766094299524
10,2017-09,1783,13126.166666666666,-0.8641644552230278
10,2018-05,1704,12460.583333333334,-0.8632487778127027
10,2018-06,12534,12904.0,-0.028673279603223807
10,2018-07,22588,14310.416666666666,0.5784306303683215
10,2018-08,19922,14483.0,0.375543740937651
10,2018-09,925,12457.833333333334,-0.9257495284091669
10,2019-05,670,10341.25,-0.935210927112293
10,2019-06,8832,10840.0,-0.18523985239852397
10,2019-07,17645,12198.333333333334,0.4465090859407022
10,2019-08,17032,12225.916666666666,0.39310617472445836
10,2019-09,1119,10440.583333333334,-0.8928220805031647
10,2021-05,362,8759.666666666666,-0.9586742265687431
10,2021-06,9238,9380.916666666666,-0.015234829574224203
10,2021-07,14014,10406.75,0.34662598794051935
10,2021-08,11673,10335.0,0.12946298984034832
10,2021-09,1743,8597.916666666666,-0.7972764720135692
10,2022-05,749,7000.166666666667,-0.8930025475583915
10,2022-06,10567,7803.666666666667,0.35410704369740714
10,2022-07,14423,8949.75,0.6115533953462388
10,2022-08,11521,9173.833333333334,0.2558545137438002
10,2022-09,802,7770.25,-0.8967858177021332
10,2023-05,637,6404.0,-0.90053091817614
10,2023-06,12592,7360.083333333333,0.7108501941780552
10,2023-07,16302,8688.416666666666,0.876291230661513
10,2023-08,14627,9137.5,0.600766073871409
10,2023-09,1466,8091.833333333333,-0.818829684249552
10,2024-05,514,7161.916666666667,-0.9282315022747635
10,2024-06,12117,8026.416666666667,0.5096400427754186
10,2024-07,15723,9274.25,0.6953392457611127
10,2024-08,13832,9546.333333333334,0.4489332728098047
100,2001-01,25673,25673.0,0.0
100,2001-02,23555,24614.0,-0.04302429511660031
100,2001-03,27637,25621.666666666668,0.07865738632667658
100,2001-04,23532,25099.25,-0.06244210484377023
100,2001-05,26222,25323.8,0.03546861055607771
100,2001-06,19313,24322.0,-0.20594523476687773
100,2001-07,18931,23551.85714285714,-0.1961992684835287
100,2001-08,18973,22979.5,-0.17435105202463064
100,2001-09,27096,23436.88888888889,0.1561261449187415
100,2001-10,32353,24328.5,0.32983948866555685
100,2001-11,28554,24712.636363636364,0.15544127222363235
100,2001-12,22538,24531.416666666668,-0.08125974515672085
100,2002-01,25792,24541.333333333332,0.050961642942518794
100,2002-02,23917,24571.5,-0.026636550475143968
100,2002-03,28531,24646.0,0.1576320701127972
100,2002-04,28197,25034.75,0.12631442295209658
100,2002-05,29095,25274.166666666668,0.1511754426456526
100,2002-06,24019,25666.333333333332,-0.0641826517227496
